file_offset,va,encoding,text
0x0016b3a8,0x0056c9a8,ascii,th20.cfg
0x0016b3b4,0x0056c9b4,ascii,D:\cygwin\home\zun\prog\th20\src\core\main.cpp:172 FuncCtrlInf
0x0016b3f4,0x0056c9f4,ascii,D:\cygwin\home\zun\prog\th20\src\core\main.cpp:173 SprtCtrlInf
0x0016b434,0x0056ca34,ascii,"%d, %d"
0x0016b474,0x0056ca74,ascii,log.txt
0x0016b47a,0x0056ca7a,utf-16le,tAPPDATA
0x0016b48c,0x0056ca8c,ascii,ShanghaiAlice
0x0016b4a4,0x0056caa4,ascii,replay
0x0016b4ac,0x0056caac,ascii,snapshot
0x0016b4bc,0x0056cabc,ascii,th20_%.3d.png
0x0016b4cc,0x0056cacc,ascii,Direct3D 
0x0016b50e,0x0056cb0e,utf-16le, Fossilized Wonder. ver 1.00c
0x0016b550,0x0056cb50,utf-16le,TH20 - Fossilized Wonder. ver 1.00c
0x0016b5a4,0x0056cba4,ascii,Direct3D 
0x0016b5e1,0x0056cbe1,ascii,x %d %d
0x0016b608,0x0056cc08,ascii, 32Bits 
0x0016b628,0x0056cc28,ascii,D3DTEXOPCAPS_ADD 
0x0016b6c8,0x0056ccc8,ascii,D3DFMT_A8R8G8B8 
0x0016b70c,0x0056cd0c,utf-16le,th20 App
0x0016b738,0x0056cd38,ascii,Invalid window handle.
0x0016b804,0x0056ce04,ascii,L_THUMB
0x0016b80c,0x0056ce0c,ascii,R_THUMB
0x0016b814,0x0056ce14,ascii,START
0x0016b828,0x0056ce28,ascii,MouseL
0x0016b830,0x0056ce30,ascii,MouseR
0x0016b83c,0x0056ce3c,ascii,MouseM
0x0016b844,0x0056ce44,ascii,MouseX1
0x0016b84c,0x0056ce4c,ascii,MouseX2
0x0016b858,0x0056ce58,ascii,BackSpace
0x0016b870,0x0056ce70,ascii,Clear
0x0016b878,0x0056ce78,ascii,Enter
0x0016b888,0x0056ce88,ascii,Shift
0x0016b89c,0x0056ce9c,ascii,Pause
0x0016b8cc,0x0056cecc,ascii,Convt
0x0016b8d4,0x0056ced4,ascii,NonConv
0x0016b8e4,0x0056cee4,ascii,Space
0x0016b8ec,0x0056ceec,ascii,PageUp
0x0016b8f4,0x0056cef4,ascii,PageDown
0x0016b918,0x0056cf18,ascii,Right
0x0016b928,0x0056cf28,ascii,Select
0x0016b930,0x0056cf30,ascii,Print
0x0016b938,0x0056cf38,ascii,Execute
0x0016b940,0x0056cf40,ascii,SnapShot
0x0016b94c,0x0056cf4c,ascii,Insert
0x0016ba10,0x0056d010,ascii,Sleep
0x0016ba78,0x0056d078,ascii,Separator
0x0016bb3c,0x0056d13c,ascii,NumLock
0x0016bb44,0x0056d144,ascii,Scroll
0x0016bc9c,0x0056d29c,ascii,COMMA
0x0016bca4,0x0056d2a4,ascii,MINUS
0x0016bcac,0x0056d2ac,ascii,PERIOD
0x0016bdcc,0x0056d3cc,ascii,OEM102
0x0016bedc,0x0056d4dc,ascii,initialize InputInf
0x0016bf14,0x0056d514,utf-16le,\\.\root\cimv2
0x0016bf34,0x0056d534,utf-16le,Win32_PNPEntity
0x0016bf54,0x0056d554,utf-16le,DeviceID
0x0016bf7c,0x0056d57c,utf-16le,VID_%4X
0x0016bf98,0x0056d598,utf-16le,PID_%4X
0x0016bfa8,0x0056d5a8,ascii,DirectInput 
0x0016bfc8,0x0056d5c8,ascii,DirectInput SetDataFormat 
0x0016bff8,0x0056d5f8,ascii,DirectInput SetCooperativeLevel 
0x0016c02c,0x0056d62c,ascii,DirectInput 
0x0016c074,0x0056d674,ascii,start InputInf
0x0016c084,0x0056d684,ascii,shutdown InputInf
0x0016c098,0x0056d698,ascii,D:\cygwin\home\zun\prog\th20\src\core\pad.cpp:771 InputInf
0x0016c0d4,0x0056d6d4,ascii,Pad Num : %d
0x0016c0e4,0x0056d6e4,ascii,DirectInput Release
0x0016c0fc,0x0056d6fc,ascii,DirectInput(Pad) Release
0x0016c118,0x0056d718,ascii,DirectInput Device Release
0x0016c134,0x0056d734,ascii,Button %d
0x0016c150,0x0056d750,ascii,initialize ScreenInf
0x0016c168,0x0056d768,ascii,D:\cygwin\home\zun\prog\th20\src\core\screen.cpp:580 ScreenInf
0x0016c1a8,0x0056d7a8,ascii,shutdown ScreenInf
0x0016c1e0,0x0056d7e0,ascii,se_plst00.wav
0x0016c1f0,0x0056d7f0,ascii,se_enep00.wav
0x0016c200,0x0056d800,ascii,se_pldead00.wav
0x0016c210,0x0056d810,ascii,se_power0.wav
