entry_va,name,role_candidate,role_confidence,recovery_status,build_integration_status,module_id,ghidra_body_bytes,source_paths,warnings,undefined_type_occurrences,generated_globals,register_values,unresolved_indirect_calls,pseudocode_file
0x0040c7e0,FUN_0040c7e0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,19,,0,1,0,0,0,pseudocode/0040c7e0.c
0x0040c800,FUN_0040c800,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,137,,0,3,0,0,0,pseudocode/0040c800.c
0x0040c890,FUN_0040c890,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,140,,0,4,0,0,0,pseudocode/0040c890.c
0x0040c920,FUN_0040c920,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,101,,1,0,0,0,0,pseudocode/0040c920.c
0x0040c990,FUN_0040c990,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,19,,0,2,0,0,0,pseudocode/0040c990.c
0x0040c9b0,FUN_0040c9b0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,48,,0,0,0,0,0,pseudocode/0040c9b0.c
0x0040c9e0,FUN_0040c9e0,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,330,,0,8,1,0,0,pseudocode/0040c9e0.c
0x0040cb30,FUN_0040cb30,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,273,,0,4,1,0,0,pseudocode/0040cb30.c
0x0040cc50,FUN_0040cc50,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,273,,0,5,1,0,0,pseudocode/0040cc50.c
0x0040cd70,FUN_0040cd70,unclassified_application_or_library,unknown,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,115,,0,8,0,0,0,pseudocode/0040cd70.c
0x0040cdf0,FUN_0040cdf0,possible_crt_stl_or_library_function,ghidra_signature_or_library_name_only,pseudocode_only_not_recovered_cpp,not_compiled_from_recovered_cpp,,69,,0,3,0,0,0,pseudocode/0040cdf0.c
